Mass_RT	 C1030	 C1131	 C1133	 C1171	 C1204	 C1222	 C1229	 C1238	 C1306	 C1317	 C1331	 C1336	 C1366	 C1453	 C1520	 C1538	 C1539	 C1548	 C1556	 C1564	 C1768	 C1782	 C1937	 C2002	 C2158	 C2188	 C2218	 C2226	 C2249	 C2259	 C2275	 C2284	 C2289	 C2296	 C2310	 C2312	 C2318	 C2319	 C572	 C578	 C615	 C624	 C628	 C636	 C668	 C726	 C756	 C772	 C791	 C820	 C841	 C842	 C877	 C904	 C947	 M1044	 M1078	 M1104	 M1116	 M1120	 M1145	 M1147	 M1176	 M1202	 M1223	 M1239	 M1272	 M1294	 M1309	 M1322	 M1344	 M1361	 M1380	 M1518	 M1558	 M1605	 M1680	 M1682	 M1689	 M1787	 M1794	 M1843	 M1860	 M1884	 M1986	 M199	 M2050	 M2058	 M2105	 M2126	 M2178	 M2195	 M2220	 M2253	 M2258	 M37	 M393	 M489	 M516	 M538	 M539	 M637	 M759	 M796	 M803	 M881	 M908	 M913	 M962	 M996
103.0999_0.77	38821.75646	40447.97208	56677.53218	44426.46524	46114.93174	85374.0371	56378.58987	65897.77574	48851.92323	43591.96545	46123.78202	31761.44573	53040.44692	83506.80483	28857.32405	32554.56846	45537.02859	30650.88362	44407.45435	28625.58656	49778.79494	55621.34268	44609.95658	36004.10442	25632.05103	47190.1815	36047.52613	38592.59062	55452.81802	36705.18776	88454.14415	34868.15803	42213.50977	59105.44685	44925.79757	49335.32006	35262.05539	59168.51579	37239.8156	30956.56369	47905.50776	24638.07004	32993.05021	41189.52908	116723.9008	43537.93467	54003.90194	46100.16078	44303.45041	57915.07198	36847.90792	34486.86224	48283.6434	44031.83401	38880.59878	41382.6274	41176.49421	38548.89761	66750.18783	36092.93533	24533.91852	43934.5686	54450.70402	43407.5707	31362.04356	51025.79722	36583.53219	41536.9802	38795.00685	38351.25572	43074.64641	41305.58173	41328.13262	45841.32446	33884.26028	62522.21521	45481.3134	29541.21967	33636.63101	46483.01348	51598.00614	54502.19266	47472.89598	47581.54408	47114.16918	41540.49463	48916.93799	31327.21332	62541.62133	52527.5701	50804.68532	50184.18322	36600.35268	26553.73405	31550.44819	35054.46823	24705.07259	45153.84124	40098.54391	54835.53724	33721.03674	40075.93576	41942.89515	44740.59687	40568.40516	42598.33841	40208.56788	22741.80069	39113.53407	38006.17433
103.9848_0.77	32147.61101	28046.13502	31520.55001	31189.66037	31365.97972	30452.30046	32126.23027	31760.6644	33077.87327	30672.79408	30331.28763	30134.59329	29963.70355	33254.12735	27992.01631	33038.18917	30870.45979	34006.68445	31319.963	32654.66812	33471.79717	29083.32013	33982.16131	26368.74813	31331.94592	33747.31209	28075.86846	31877.80654	34168.55971	33018.9532	31259.47539	34164.76534	31959.97615	31859.75452	29558.03502	31876.97953	29097.18756	32142.40934	31341.64191	33895.66501	30721.3878	33463.9991	34318.62871	28153.62534	29524.36954	30755.23893	31042.7818	29233.50209	30109.76755	33015.75211	30515.53873	35785.45922	30747.80068	31684.22758	35792.50256	31202.58329	31107.42246	28595.1043	30902.87383	30544.77013	28135.55773	29623.89858	32108.10797	29045.56757	32967.52897	30329.57039	28667.06766	31403.97901	31923.44299	32680.17752	30479.05871	32819.01209	32261.00523	31964.99275	30534.98493	31127.90673	35017.57086	32796.07348	29393.61014	30680.1124	33508.19578	29058.48203	28820.38287	35345.2435	31813.37853	28455.96305	31920.93457	33489.48311	30308.10461	32374.88167	30441.65971	28719.79083	33154.44387	31874.47566	28552.74831	30848.4004	33428.82786	34109.57568	30741.43152	29220.42294	32909.04809	31802.30478	29574.4206	29452.57573	30682.56332	32842.54701	31563.84085	32143.33561	31058.01316	32404.66485
113.0591_0.79	38483.06058	44383.49837	36327.01306	45701.52291	56593.10029	34697.99207	39354.04989	40269.51991	38482.28507	46136.81688	36824.3401	38071.45259	43466.54178	42005.93636	35275.89976	31122.59858	37492.30734	38693.81717	32922.37341	55037.9128	44253.50048	34377.82228	56761.07863	19230.14827	34876.6137	39246.67277	26458.8714	44479.42946	35668.11352	34325.26538	32035.80821	53333.88189	38539.14506	27226.0354	35941.52051	32882.38218	40373.4653	22143.35414	30638.98308	36203.9583	23364.59301	45031.62245	46547.54363	39836.23812	39853.84505	23453.78946	28163.42569	42620.93438	43229.42022	30624.27609	38485.62623	33288.96182	29419.57741	31750.13667	29462.61595	44164.15323	35445.00533	29810.62128	34206.87977	43787.50585	44727.45155	34619.87926	54572.94817	35415.64783	44327.22765	34549.29399	37204.57936	38389.99071	50470.80113	38994.35723	38984.21334	28913.54991	35308.36753	31619.43034	38838.60203	48959.44937	47652.29372	33182.0794	42517.8224	30356.24023	37885.83223	56186.71308	38465.63963	35478.29111	30711.62639	27210.03876	41173.36862	51876.89622	42213.01069	27906.38393	39100.5678	31881.68469	38616.77287	48050.11827	33809.86402	40362.72175	52122.47145	30350.85078	49650.5198	28469.68593	30686.23183	45231.96193	21791.92374	34394.40302	18732.67541	39519.08379	30044.18373	28500.27538	35511.23675	34286.20906
115.063_0.79	10863.38843	11022.03293	8331.929702	10238.19845	12085.90454	10134.46915	12462.6045	7903.399373	8857.67212	12821.35806	16222.17486	12220.16051	13385.94372	14239.05944	12563.4071	8978.258119	11033.49215	11331.62187	9799.840619	8853.989944	13155.70858	13747.12657	10520.64798	5030.511801	11565.1877	12889.08662	10896.11966	7757.404695	10641.68105	12671.66937	12103.76694	11543.864	12774.5884	10027.91762	9124.716836	10006.82015	8303.299656	12119.92844	14394.76147	9344.617976	7984.668809	8672.379719	8913.110011	7687.239423	14082.98134	9713.879288	10044.67814	12314.52045	12459.14222	7490.575934	12169.50358	12808.15337	7110.302607	16527.74438	13707.53478	14748.48097	8398.375658	12543.36145	7929.238598	14501.01896	11689.52225	8962.770636	9524.398851	8774.434492	11117.76584	6713.369211	10080.41062	10527.46594	10466.31886	8527.433795	10837.1452	8131.979632	9493.042636	9896.448728	9015.501295	10665.15259	21880.73486	7282.106372	12871.51772	7954.552713	11381.69093	11395.66085	8920.436789	10546.13103	11820.64377	7577.441147	10601.29526	10323.37731	9558.919612	7243.127539	12728.39961	9095.455288	7544.095724	10573.26209	9560.624391	8936.081602	8790.157019	8483.773949	9345.223714	10366.75648	9211.662147	11680.06789	10699.94431	8895.84899	7022.523542	8516.181799	13221.56336	8228.442987	9192.639309	6704.672473
117.0788_0.79	91602.30807	99711.00094	172177.2686	114091.6529	112652.7434	111850.3152	157570.4506	121331.4668	78714.90124	136905.1489	113129.6838	124117.1192	127277.4016	106717.9794	96140.44323	90065.23126	117941.2806	106046.2982	144076.6938	90936.5355	90571.96267	90758.46453	134149.0176	112345.8769	75808.0369	112117.2272	118878.0501	138073.1357	119278.4155	121430.2348	127925.2676	114022.0834	81842.24632	118981.6449	148159.3628	97001.71906	125387.1651	63902.41824	172414.0098	102744.2733	133800.1725	110197.2663	102795.3343	80238.39792	98386.91275	100627.2425	120062.1489	123926.7604	101324.0977	113281.3672	91020.55799	104888.9078	74783.03875	103637.9996	92023.56738	127713.739	75216.83476	140653.7104	77565.65579	118556.608	100864.786	107598.6737	99973.84192	143722.1457	124963.9073	89251.24353	96168.76848	114569.9146	119989.6036	73871.59703	138801.7942	144952.8178	91304.83023	79835.10297	71348.2402	135176.5988	142250.6629	146341.1259	99251.76298	117749.5621	88569.70709	114593.4935	127220.6707	107274.5227	148588.2061	160178.0682	104643.1125	108949.1485	127739.9323	105548.9059	114573.0503	137779.0127	125942.116	64049.47023	89198.85078	102256.7028	128940.2818	101265.226	89334.62191	100621.7659	103300.5214	97932.02242	79736.90491	131460.9393	101862.3975	103998.3992	110857.757	107072.1931	127040.8655	101491.8655
131.07_0.75	20844.59326	18283.10605	16641.85748	13725.48768	12609.89899	18129.6574	25809.62304	17728.78209	18346.96338	7659.228883	22783.98549	20336.52172	7099.937952	22552.24349	17104.90949	16515.43488	21269.23907	39432.84554	27904.49789	28988.69786	18973.45427	21064.78941	23727.05509	20460.06064	24189.80926	16281.72583	27026.65334	13199.36004	25215.62149	28685.944	31192.16003	11776.18169	19778.13876	26144.0601	18075.15954	28735.19488	7322.883123	24112.06631	23053.00699	28331.48557	17282.07134	23667.57286	34624.38408	29881.02186	14437.58638	19560.62169	18766.60536	17613.66557	19584.12836	12631.99836	18270.02819	18640.33829	27121.96378	16877.18133	17062.95678	14694.36059	23374.27304	19636.66993	19334.77622	7249.934593	9159.907992	17993.43548	9301.243775	24623.74581	14957.8423	21668.37905	17494.8174	14688.01214	10012.81981	15739.6228	13781.31193	18011.83359	22546.43031	20524.59628	17628.18832	10582.79873	16270.28832	12464.4862	17250.48634	16925.54155	15949.11628	13654.87652	19315.71157	18349.58521	21414.95939	18423.04003	9123.124605	24894.54384	16564.00904	14756.81586	10421.94723	20847.88875	23385.81725	19088.66785	17738.30968	27513.43172	23407.49605	25894.63998	18116.87208	19554.05849	20910.36247	23934.55463	20219.16488	22763.04768	21129.55784	17637.07894	16929.54416	36076.8565	22373.61691	7283.842595
131.0936_0.81	5540.477792	6013.719214	5561.055452	5323.729153	5046.263377	6881.434896	5422.419151	5588.853166	6148.458187	5574.020129	7074.233262	6070.81354	5303.804644	5714.423881	5436.415145	5915.744328	6538.753065	6650.420535	5627.552686	5873.979928	6589.401664	6983.481908	7547.943599	5231.965478	6156.381223	6766.750623	6004.629503	5273.854418	6730.370462	5995.67052	7887.025828	5629.891752	6365.700374	7264.981662	5635.700142	6594.09224	4118.943775	5767.904588	5828.918605	7093.09385	5478.646052	4124.357107	7715.106327	5812.442496	6217.791435	5717.442591	6371.856448	6482.676088	6043.24276	5059.382845	5180.942435	5840.217699	7758.578728	5960.277259	5891.703676	6750.383044	6021.701019	5401.149347	5406.89087	4566.955064	5359.405653	5725.938082	5070.773955	6403.977694	6104.981556	5347.920371	5273.925485	7541.753741	4524.663445	5853.629509	5157.521546	5474.943763	6382.586677	5883.252353	6030.274872	5844.932538	6380.269324	4938.190119	6875.41099	5099.682622	7737.111545	6318.619345	6314.647845	5614.5954	5907.92218	5135.661117	6540.457033	6557.232253	5926.754109	4651.443514	5474.927665	6278.955758	6557.521229	5953.949263	5187.545514	6780.02948	6476.197909	5819.143644	6091.241966	6249.750107	6640.841599	6884.009123	6393.016246	5776.594393	4979.943779	5551.125914	5733.658464	3383.242637	5975.498559	5211.151662
139.0611_0.79	4824.8892	4396.123011	7708.464573	6382.374719	5205.429786	5709.139182	6839.151915	5221.906693	4277.31318	7289.563227	6559.677126	6095.301768	5635.45586	5447.503896	4292.060362	4808.24662	6155.165	5851.265516	7878.904908	4978.214205	4993.868681	5508.612843	7113.467924	4014.587901	4489.692165	6003.096349	5919.710352	5437.221784	7413.211999	5839.244506	6599.535335	5884.390308	4573.55258	6777.75327	7611.76892	5382.529014	5094.217447	4143.491886	7042.442132	5527.56567	6785.16966	5421.271876	6337.12044	4429.351798	5769.217106	5342.768614	6794.893275	6474.808914	5707.192108	5846.882326	4077.439573	5589.402163	4925.90814	4808.246525	4932.964848	7491.352196	4036.717648	7252.535742	5081.600157	6023.671396	4867.704836	4974.581423	5461.976876	7391.752453	6316.132266	4888.495173	5192.273109	6879.418931	5988.560881	3791.06057	6371.56725	7891.726283	5327.20977	4267.638108	4297.899786	6213.638342	8543.619753	6125.135563	6215.451164	6207.227091	4946.45705	6266.128947	6061.765736	6072.559033	7519.819423	6489.956484	5988.367666	6377.385033	7621.693852	5309.539843	5838.104132	6430.456131	6598.087976	3921.15376	4210.784327	4885.307098	6113.340401	4440.673107	4735.655929	5489.990766	5647.046917	6669.209185	4590.463521	6781.626769	4897.902516	5132.207675	4849.548819	5400.497179	6131.772189	5153.809766
143.0954_0.79	4345.299455	18283.43365	22983.57077	41486.53492	53702.98994	8430.679227	5650.618025	4364.522786	42527.48298	3950.418518	7060.798486	5264.691012	8880.639641	45736.83209	6017.029641	9936.085805	15619.23846	6723.640165	20691.2642	6215.360585	7877.505472	6588.474548	4703.054185	16277.92356	46421.17998	9729.61098	10771.7227	14483.53505	9157.026667	32589.90084	32659.94788	4467.162934	8519.928598	10479.68134	28170.80538	4472.590965	37402.25109	7205.874172	12147.00839	21601.09966	20719.23215	3749.065091	20356.09657	17758.60528	15782.64069	5120.222901	22422.19931	46240.25058	20684.31175	10272.95265	12872.23864	26108.91398	4313.812422	4252.620989	34287.47507	4426.370855	33425.04009	121788.0624	4370.9979	78379.90339	29692.11326	6308.127042	4833.12267	4088.862792	5030.727522	45369.51994	4946.177528	51017.61599	35276.9234	3441.114859	65098.27136	26210.96879	43741.07998	6636.34863	24267.21178	5314.90806	53455.47793	4490.983143	5932.446109	14451.96808	25664.66502	17632.25298	6539.3914	20985.42288	18964.29624	28823.70423	23587.32725	5024.751668	25751.15996	15667.45475	3761.756405	5895.852102	7361.402444	4575.625144	98617.85783	7870.789506	8672.463542	35161.97143	17535.30702	9972.725783	5841.300736	22568.67358	34606.19708	18659.04525	57705.14335	5925.825492	30918.86532	14811.53762	4537.794428	18666.93039
155.0693_1.16	29768.13699	27227.60124	32113.21244	27810.48114	34458.87722	24658.83532	27587.83511	33612.87358	28250.23414	31574.31286	27605.63356	27271.6307	30035.41771	25614.27147	26964.6861	27551.89331	33014.66659	26859.43369	24120.06122	22368.8826	32161.20401	24733.05403	27523.91283	18018.46629	23939.83576	28415.0766	32118.41218	24809.26598	31103.67061	32782.78608	34328.24726	27022.32665	31761.54062	28005.0256	31505.79	28625.30978	22283.57529	30928.5865	26740.50592	27348.65974	23924.63996	20948.26846	29691.11113	26404.42054	28832.73299	30198.62821	33102.15321	30461.50964	26843.9689	29601.43973	26436.39973	23627.38675	31034.0199	22732.3391	29062.13071	28603.40823	29411.25617	26075.82365	32705.91073	25323.07477	25091.08215	23799.15873	26290.90906	23331.82279	29838.53981	31285.07785	27834.37365	36216.17552	30756.88108	28189.46269	26455.13852	30723.90904	27769.95161	24300.00762	38544.54551	23783.72724	38908.90353	27643.50897	28242.00368	27229.40779	24906.53335	24694.84471	27703.59779	30161.37777	29577.49423	25143.65493	29745.68931	27878.34916	31032.3917	21195.02617	30752.01394	34982.5335	28446.0847	25794.96915	21260.17679	21283.97178	25353.69827	29546.60044	32988.15692	31136.37967	34313.79059	34569.87412	22361.66846	27251.81043	23739.38689	27117.03949	27416.02929	16963.33676	25113.82239	28290.67035
