Mass_MT	 C1030	 C1131	 C1133	 C1171	 C1204	 C1222	 C1229	 C1238	 C1306	 C1317	 C1331	 C1336	 C1366	 C1453	 C1520	 C1538	 C1539	 C1548	 C1556	 C1564	 C1768	 C1782	 C1937	 C2002	 C2158	 C2188	 C2218	 C2226	 C2249	 C2259	 C2275	 C2284	 C2289	 C2296	 C2310	 C2312	 C2318	 C2319	 C572	 C578	 C615	 C624	 C628	 C636	 C668	 C726	 C756	 C772	 C791	 C820	 C841	 C842	 C877	 C904	 C947	 M1044	 M1078	 M1104	 M1116	 M1120	 M1145	 M1147	 M1176	 M1202	 M1223	 M1239	 M1272	 M1294	 M1309	 M1322	 M1344	 M1361	 M1380	 M1518	 M1558	 M1605	 M1680	 M1682	 M1689	 M1787	 M1794	 M1843	 M1860	 M1884	 M1986	 M199	 M2050	 M2058	 M2105	 M2126	 M2178	 M2195	 M2220	 M2253	 M2258	 M37	 M393	 M489	 M516	 M538	 M539	 M637	 M759	 M796	 M803	 M881	 M908	 M913	 M962	 M996
322.0554_18.86	1147.55562	716.974371	721.1790683	1191.186099	766.3629272	564.9995134	258.1819275	314.5526425	674.2828307	848.5655608	613.8848045	643.3293735	758.1960134	1399.34699	1215.708265	612.7619809	953.2186661	631.0694817	511.4415808	616.7510731	641.5347317	768.260324	550.2623528	330.84665	884.5967507	760.794233	1428.866325	398.0861746	650.604993	1053.519384	820.6238721	522.4080442	451.8727812	986.7876311	763.7996668	699.9378402	335.5559881	718.7849214	513.1502793	627.4701037	632.2886777	447.1050701	577.9626037	867.390871	818.5975059	1392.846145	686.3836055	1095.025963	441.6190163	1514.890588	936.8599664	387.8305867	1562.603452	620.3424088	1056.331701	453.8608836	446.1303382	539.035042	1439.494005	851.9009655	1384.824273	1542.368712	757.478585	321.1604237	813.9072146	1551.950274	1153.761931	1260.413223	673.2936519	2552.464762	655.1129799	1127.200009	756.2415095	662.2627565	830.3027732	582.6473148	660.059221	5445.467591	810.8929198	908.6142414	1348.391425	846.3445438	1251.12796	518.082717	678.850171	617.1440479	689.4891319	543.2691115	1125.03479	1359.307915	1003.153034	1315.734359	694.0379944	986.7551213	1001.000668	524.6150091	759.001115	291.4299241	1116.347738	897.5965644	1578.560742	764.9245532	538.6809493	1045.163011	1181.046081	586.1594321	17865.21361	376.5401165	740.9702343	1509.033456
240.0402_11.66	1477.272212	1921.628591	1196.381683	1109.587628	950.3543758	1651.532548	1346.863448	1153.443156	1432.088548	1673.962631	1163.045721	1034.030875	1194.616802	879.5958856	1355.478239	1131.590144	1415.738159	3017.140379	2167.744089	1681.884821	1735.692526	1375.267346	1034.256933	1331.156326	1780.05698	832.5760295	1319.067934	944.7924177	923.8812213	991.6398786	2537.381074	1745.173331	1533.806973	1941.63825	1327.556141	806.3564028	1155.899466	972.3391068	1938.294717	1593.16428	1015.151322	2259.561381	1573.725821	1198.519131	1107.632884	1496.521532	1209.194627	1369.33874	1366.725665	1050.242577	1097.470092	1659.680951	1595.477207	2290.521582	1061.872389	1481.260372	968.1173832	909.8798721	997.9449319	950.0508453	610.2343291	1360.959253	1110.444421	1858.105629	1795.041705	1267.724322	1098.114804	1862.248324	1689.114069	1221.181244	1861.544105	944.0274423	1407.808884	706.6865355	1298.338977	2358.006864	2032.083678	6416.404392	1730.983026	1103.649741	794.1441083	1157.035631	1534.517948	819.8807759	1620.678991	1185.607601	1341.78976	959.2102511	1129.576932	968.3461754	1246.914665	1279.669094	1395.21088	1098.64449	1200.597263	1508.42087	1535.004296	1205.403789	1367.641067	1226.133322	1189.243199	1640.569178	1216.018638	1116.094872	1069.672016	2312.098602	22695.7666	2098.009388	1036.171847	1226.149493
387.0848_21.49	1759.835304	2881.206677	1597.54862	2219.266117	1292.450744	3151.350136	2694.633154	2666.125168	2448.244281	778.0036741	1409.448257	695.4588776	1309.98057	1019.922496	1168.944975	2053.098556	1599.804655	1979.475263	1819.531672	305.620092	378.2505879	794.2737507	1440.105116	3198.30563	1038.204665	1437.437181	1090.941455	330.8090423	2447.600227	1114.308521	974.5843872	1056.953768	3078.508665	871.8394512	6048.414027	1935.50587	896.2484284	1777.196118	1950.310933	2016.233406	1018.343201	1391.327514	2185.73938	753.8705182	2257.437407	573.4933288	1782.169218	1157.313411	2461.680305	1171.171963	1307.210734	2241.258566	982.7525778	740.0658363	2416.5942	1300.674016	3127.111753	3622.226838	1539.28976	1059.227533	1442.899822	1149.774959	1720.862038	2563.256006	522.7283787	1404.672919	584.3769962	812.455825	2527.015269	548.0244562	999.0515099	1272.292374	2158.188029	2085.942669	2496.825904	1304.014384	1524.516083	998.4026956	907.376263	525.8828576	721.9983555	2132.7198	436.8383415	1174.644666	2482.441601	672.034	1992.629635	1395.509953	1201.884019	753.6155044	620.5748415	967.7087482	2319.447476	930.9930862	883.8797121	1333.111384	2061.767077	4455.414771	364.501482	568.504672	1347.187627	3270.795253	2632.573976	1917.193937	1832.317553	2710.967203	40593.07785	3314.55403	1397.019983	1384.445942
88.0146_12.46	21565.04161	11316.7191	8619.661383	12375.24894	10850.25776	19076.1032	9708.324033	5643.948935	7039.312913	21752.93389	21724.57954	7222.060593	17435.92122	25657.5277	8649.576473	7580.076059	5929.906035	12490.33452	42368.98627	32849.0767	14304.75507	21981.28606	7630.724479	6246.666075	14962.22389	6957.916275	11989.112	9807.743902	10222.72974	11436.80441	10790.0642	11888.00125	12587.71372	16445.2151	32523.30206	6111.642565	10989.83871	7198.507987	31572.6461	18383.6541	9946.102262	29956.28515	13001.85222	9906.584365	16783.26106	17066.41144	9699.904469	13386.71523	12880.71058	12706.97947	14579.8683	18798.57173	9290.393864	20870.43081	6401.712821	13610.07085	9033.226919	18146.03262	17997.78473	10637.05586	15286.76829	12919.69512	6751.26797	20016.30655	5333.972329	6758.758741	10699.31828	16333.76461	9844.285898	13332.46181	13028.33895	10288.75948	15395.27923	11702.52534	10846.86312	11287.65227	24721.77494	76556.17342	10124.96131	13133.54362	7936.321759	9115.738459	12487.41952	9761.73202	8012.162492	19483.09147	14882.48581	14696.55294	22462.7389	11111.58564	8713.752511	11071.13207	6434.295297	10995.98751	11690.86716	8732.692748	12885.41386	10492.85656	11012.80669	12144.66508	6316.024743	26844.61888	8140.332028	10970.83932	17452.10941	9516.946245	270255.5871	33262.40874	8080.606045	4705.521892
182.0752_21.27	5022.078185	1892.70885	3699.025045	4785.859913	1635.575287	2505.540852	2191.233463	2112.829571	2560.149968	5684.673699	2784.359921	2218.633144	3417.128894	4671.897144	1843.46567	2404.004192	3529.704316	3827.228077	4109.508758	4983.469945	2853.403574	2015.506408	1866.859688	2099.050188	1558.3677	3052.831756	1548.504019	2135.007725	4164.173588	2865.471247	3669.091956	1813.963144	3304.869787	1907.906402	3768.999308	1471.215507	6430.345762	3658.899511	3016.349656	2324.432853	2333.979092	2355.70956	2882.104734	3635.06022	2254.37432	9381.40354	2545.385858	2777.183954	2514.741914	2393.879825	2457.49581	3198.413668	2379.20834	2757.422139	2266.76435	3245.137725	3216.734517	2372.158551	1914.466856	4083.368222	3296.257266	1909.720138	3173.639503	4272.212309	3666.878838	3164.252646	3134.291021	1389.760471	7019.885129	10735.13497	2332.126523	2436.797055	2276.190192	3673.040739	2232.462241	3818.350715	1955.14907	19449.25502	3239.497003	2437.805714	3055.225018	3929.371551	3670.243871	3371.728267	2978.851292	2112.051575	1634.194826	3187.197829	5128.40921	2740.007215	2777.661027	2866.989808	3174.614672	3692.933381	3252.95243	3131.468184	3085.730396	3077.509847	2810.073007	4108.543522	1573.859097	7363.691844	3267.611664	4442.457965	3128.450907	10310.91964	68262.5872	2546.679325	1770.712429	3881.519519
213.0186_18.87	2006.871465	1472.529301	2189.212875	2696.632811	1646.736458	1500.367491	980.5491316	1096.514556	1832.024929	2195.208782	1371.443173	1518.794687	2166.554527	2349.110145	2582.066437	1601.61502	2294.897293	6121.010965	1373.347426	1737.630133	1722.093142	1686.73361	1451.994182	1084.444885	1900.20511	1367.752522	2491.897925	1300.603397	1627.179849	1931.846132	898.8490307	3210.12821	1334.289289	1944.213778	1666.040496	1693.607383	1491.393556	1764.313453	1581.521118	1324.883118	2061.877893	1044.355972	1400.334343	2345.130399	1559.029885	2197.314667	2168.55622	1959.743727	1198.90195	2312.856533	2774.258752	2068.988372	2389.332643	1370.671096	2245.083027	1318.883469	1213.24508	1298.873595	2245.178437	1854.036858	3070.74306	2384.293307	1889.953269	1020.719144	1748.112695	2491.433115	3111.936086	2401.389389	2762.705991	4718.225147	3876.309563	1879.4624	1708.269103	4956.422553	1540.880555	6102.506324	5959.501983	2212.139546	2033.113396	2192.989854	2351.777987	2144.823359	2728.60372	1639.513505	2898.11705	2187.378117	1750.85747	4815.792655	2540.103977	2381.920711	1807.225382	2239.054464	4384.60992	2460.928888	2074.227854	1574.795862	1748.504688	1041.034497	2338.197725	2454.690485	2242.702549	1635.711703	1610.992689	2738.372214	2104.733051	1410.549032	2679.451836	1049.753676	1680.631839	2373.55488
216.0888_29.53	1138.300238	768.1291318	936.744997	802.2154043	746.5039289	1802.300092	778.0876183	1164.819813	1331.61466	1067.561686	830.0134739	735.8869645	667.1903283	1179.646881	963.7709549	908.010768	919.5618203	824.7647359	903.8873109	879.5017244	1072.081518	1201.03868	670.6794392	707.8837342	1367.325772	873.565775	1320.084759	628.3525984	523.4399832	995.8296502	739.3300099	837.7501867	628.6111507	1722.866325	641.641664	835.0248225	1325.213475	802.0801265	1205.342147	799.9001133	816.2445896	524.7565923	855.7572231	1018.795875	969.6759511	1285.249006	932.8945789	947.5796105	916.7042482	1268.943703	791.4540061	778.6739217	1441.968263	694.5406591	1227.17293	682.5997039	677.4628395	777.1288662	1107.863362	860.4869773	1551.493278	1485.790485	843.2467865	1118.997783	816.1761705	1220.611513	1073.160642	1471.442997	770.9782665	2388.266199	835.3457712	1098.209243	809.2033888	748.4929539	771.6045154	925.3130775	811.1825917	2399.671043	1033.610552	912.4145257	1595.965198	775.587685	908.8057281	981.7234781	722.1571479	834.5155278	910.2227045	791.7921056	911.8254091	959.4441529	716.1489492	1351.241718	858.0379015	613.5161318	1055.333167	1378.222509	703.0700904	807.0794552	1139.13166	1146.865185	1485.995648	821.6508443	933.1342195	966.7843307	940.3369511	490.0627302	7055.246312	774.4933694	798.2578662	1539.356046
129.0425_18.87	45399.13315	33137.23529	35721.75512	46386.88938	35706.59707	29061.76771	18801.72235	22594.63556	33856.70916	37467.76485	32912.77104	33951.67503	37293.83632	49267.77331	46754.37845	30388.06069	39083.73986	39231.28327	30092.93396	32121.61851	32591.65454	35882.94395	30658.73621	22157.77327	36679.51558	37832.07807	49133.69503	25993.04321	34932.46964	41684.70263	44872.84326	32363.58736	26787.84212	42125.91415	36534.92477	35533.03573	28500.7023	34595.1475	29730.11855	32149.58141	30981.7896	26233.46397	31201.14598	35980.47751	36290.55127	47808.64487	34076.86848	43718.01703	25755.34862	50313.78425	44082.12398	26559.85322	51646.49309	31242.08014	41326.33492	27275.42461	25670.50726	29911.65426	50653.72904	38881.76817	50811.62917	50941.74997	35257.85705	21845.78144	37331.48433	51042.97495	48921.67312	47825.87678	36948.82778	55353.31505	34657.28709	44200.29762	37790.38889	35398.01252	36866.02252	33678.00508	35009.44087	43868.6312	36865.43528	36578.39346	47443.96235	40999.42708	48424.93302	30930.21822	37929.7967	34146.45406	37005.92626	30948.2315	41404.05568	48471.32001	40484.54142	46565.51529	35698.34343	41925.84042	40566.89583	29984.23895	37258.60438	21011.55871	44635.49324	38166.5742	48549.16336	37462.17707	30918.11408	45076.08822	43829.30058	32006.54396	831263.4316	25052.70112	34446.07275	47977.54926
249.0862_18.87	2140.391542	1892.608437	1863.855115	2529.136499	1962.040676	1672.029425	1165.484128	1386.406145	1900.487967	1985.707567	1762.433457	2105.568821	1698.498032	2077.915631	2365.666189	1618.464919	2081.963801	2436.999142	1799.26874	1675.737127	1744.706173	1954.74096	1816.637311	1313.710639	2095.349903	2223.393417	2482.672979	1528.829903	1747.009164	1977.641661	2447.534741	1877.219678	1659.74485	2057.875668	2190.691711	2090.424096	1573.226686	1575.02418	1804.038203	1794.250214	1630.747803	1499.947096	1540.954315	1959.762544	1914.491849	2234.798033	1785.201595	2317.84426	1646.915802	2346.615124	2236.634339	1410.328761	2452.644189	1853.124429	2442.093424	1554.154371	1543.677837	1650.207504	2436.700338	1797.639179	2372.259923	2321.644331	1723.152097	1311.525308	2130.951337	2349.084028	2697.678316	2686.555279	1931.914149	3965.507831	1856.741853	1840.58134	2275.993446	1907.944972	1875.432763	2117.985308	1872.804062	2875.110312	2136.628379	1750.764199	2302.266796	1903.236799	2338.793353	1760.185577	2074.878415	1796.25985	2168.33115	1880.088502	1969.215134	2404.557357	2139.849586	2291.044846	2205.223417	2179.303683	1906.110251	1691.59578	1929.03251	1302.43226	2442.888902	1872.205886	2272.260992	1649.939898	1756.445546	2284.856256	2182.834989	1814.314181	57827.48199	1302.509279	1752.721231	2259.630903
263.0452_21.2	6546.838618	6642.21522	8273.929417	5441.90023	7301.423376	7537.377415	6163.959219	6492.828812	6822.040791	4789.469685	7081.135667	8346.499945	7978.195881	5794.104236	6193.111226	6818.078525	4692.002456	12121.031	6994.882882	6034.737379	7668.20022	7191.290856	6225.322193	7371.120824	7722.618599	7424.61139	5568.522224	6965.533868	7751.066761	6133.68127	9999.895026	9432.871017	7117.111268	7679.914433	6958.753554	7229.653993	15435.88748	5854.219985	8232.075462	8797.990122	6495.874328	9613.917556	8119.892239	6114.548879	8886.268845	7075.938846	7925.239833	7045.481146	6068.234781	7408.603686	6893.920018	8476.392114	7810.704562	8873.06143	6978.147471	8058.841634	6045.191223	6313.675658	7480.909985	5870.175146	8793.062752	8071.004546	5918.669121	7508.842106	6721.63721	6252.427334	8831.434868	6146.735372	8562.056497	3463.554562	10873.9118	6145.730469	7003.737124	10519.85292	7533.48547	7425.458288	8153.832728	28580.05142	6404.772191	5905.484014	6392.329799	6762.221504	7570.44738	8376.960555	8289.537668	7957.383928	7731.772312	5821.733106	7739.110019	7816.87723	6515.949115	5241.272761	7813.829052	5462.177868	6680.490563	7801.931321	9048.475716	7022.681536	6475.249869	7535.358212	6837.046549	7392.011045	8052.855774	5192.989155	6230.701807	7964.760669	61128.54495	9333.243751	7563.88864	5221.685782
