"","C1030","C1131","C1133","C1171","C1204","C1222","C1229","C1238","C1306","C1317","C1331","C1336","C1366","C1453","C1520","C1538","C1539","C1548","C1556","C1564","C1768","C1782","C1937","C2002","C2158","C2188","C2218","C2226","C2249","C2259","C2275","C2284","C2289","C2296","C2310","C2312","C2318","C2319","C572","C578","C615","C624","C628","C636","C668","C726","C756","C772","C791","C820","C841","C842","C877","C904","C947","M1044","M1078","M1104","M1116","M1120","M1145","M1147","M1176","M1202","M1223","M1239","M1272","M1294","M1309","M1322","M1344","M1361","M1380","M1518","M1558","M1605","M1680","M1682","M1689","M1787","M1794","M1843","M1860","M1884","M1986","M199","M2050","M2058","M2105","M2126","M2178","M2195","M2220","M2253","M2258","M37","M393","M489","M516","M538","M539","M637","M759","M796","M803","M881","M908","M913","M962","M996"
"103.0999_0.77",-0.355270438833917,-0.203837499989039,1.04112380709033,0.142380358724831,0.280033342847491,2.55291325548688,1.02160801209855,1.59735203967309,0.492804200724888,0.0724033503898732,0.280741507056917,-1.09600817440765,0.796371647998966,2.47130574496393,-1.44986334645607,-1.0049897318008,0.23349518394228,-1.22735028769679,0.140800881130179,-1.4796172812834,0.562164510763076,0.971705961977173,0.157590678684495,-0.633324367420175,-1.88723059543926,0.365091005219644,-0.628876511372474,-0.377118760995203,0.960507908191079,-0.56215700674442,2.6837066169401,-0.75163018242254,-0.0461747977449419,1.19591437029531,0.183626046234402,0.529140693798405,-0.710175870833203,1.19985004049183,-0.508794260160741,-1.19072989547392,0.420610053370246,-2.03318160001555,-0.955616967069229,-0.136794142194946,3.70713525855398,0.0678265315309674,0.862802669211338,0.27885112661862,0.132147958754581,1.1208335680325,-0.547836027325208,-0.792206775089866,0.449624503458407,0.109453860574466,-0.349681309933255,-0.11953438199623,-0.137962155205878,-0.381299108201572,1.64478148657842,-0.624230796321743,-2.04881417219038,0.101293083596531,0.893208806356662,0.0567602836659269,-1.14270755008597,0.65347067204362,-0.574408330741497,-0.105795641610024,-0.357814047929379,-0.400267961172812,0.0283477223751124,-0.126411300663622,-0.124397133423417,0.258073065562296,-0.857258076208422,1.40330538257389,0.228977302566672,-1.36342779609161,-0.884325848266804,0.309371676768263,0.694623735585561,0.896696708696033,0.387133419753613,0.395569494049885,0.359142021793953,-0.105483421572462,0.49771217416046,-1.14680816655077,1.40445063083259,0.760514519073762,0.637444637150031,0.592095792203671,-0.572711998412254,-1.75686664959871,-1.1206050300269,-0.731964585995977,-2.02315977521509,0.202310580945427,-0.235856127448022,0.919198462225243,-0.875077336835346,-0.23793734591237,-0.0699079198374472,0.168381887432471,-0.192866096443281,-0.0126857179512961,-0.225744469338635,-2.32872377583352,-0.327638694338102,-0.433622998696549
"103.9848_0.77",0.441962915846015,-1.8379826471437,0.112910890533157,-0.0633726544453281,0.0307940675752316,-0.463028696931085,0.430849395155579,0.239678536357825,0.918482665439843,-0.342513770131054,-0.529541929023916,-0.63822085287726,-0.733219457472416,1.00725562405676,-1.87024714833576,0.898429951756886,-0.235210008641981,1.38107279403174,0.00626910214859976,0.703382873238067,1.11624115024536,-1.23137847948588,1.36902236979769,-2.86816444539261,0.0126589597134081,1.25317744202966,-1.82028264825467,0.301175962989109,1.46039933849841,0.888701183554737,-0.0260231030091497,1.45854422238576,0.344178764465434,0.291713734457385,-0.960920241262517,0.300742590809582,-1.22341541489092,0.439259814008664,0.017827530043427,1.3264494215712,-0.316070475902077,1.11234897483461,1.53360528284567,-1.77408326627817,-0.979956810315488,-0.297674376809416,-0.142223276618291,-1.1453412004748,-0.651988131201389,0.887081652905576,-0.428375622581739,2.23274547769469,-0.301714892096329,0.199428233538696,2.23603296342452,-0.0564528659378025,-0.107475574752933,-1.51417265786406,-0.217679489078015,-0.412381769176834,-1.78480677797383,-0.923739483439279,0.421423790183185,-1.2530763041896,0.862665053632095,-0.530487697452466,-1.47218657489431,0.0510189748088065,0.325073096696166,0.716427113394641,-0.448357035456506,0.787242195986667,0.500780962314938,0.346800579475938,-0.417734000642582,-0.0964792832638011,1.87039596293612,0.775562625767877,-1.05410281041242,-0.338528674178316,1.13439645152601,-1.2456507034926,-1.38308717115855,2.02597979246741,0.267380485857333,-1.59565330074609,0.323760471679757,1.12506520351374,-0.542314477251842,0.559641451136584,-0.468866647928798,-1.44149276958976,0.957106542331662,0.2994304370358,-1.5389341313992,-0.247150940801535,1.09478301565632,1.43153797398407,-0.305175446238599,-1.15281648408222,0.83300673772348,0.2615648989131,-0.951662651954645,-1.0206261290863,-0.337194270052297,0.799216906135513,0.135837354777023,0.439741191844382,-0.134029120591663,0.57500163693119
"113.0591_0.79",0.214734871695721,0.85471161126761,-0.0439321801658217,0.986000041894641,1.9449873278381,-0.249764487362986,0.315142633120595,0.418310608487531,0.214644461982763,1.02852918366631,0.0170704729090941,0.166491235483208,0.761053176856084,0.60770700977851,-0.175658362658936,-0.737641941753284,0.0977202661859046,0.239237799530848,-0.485428561193635,1.81997512642858,0.841551911837137,-0.291353544130427,1.9582839890234,-2.89758307039427,-0.22672854614953,0.302884943237145,-1.46596120596238,0.864398032535053,-0.126052449113848,-0.2982175101556,-0.607897121847407,1.67887637200715,0.221268429590201,-1.33773299224694,-0.0917944228617061,-0.490881473747218,0.429876052338203,-2.26476146207742,-0.807902373199892,-0.0591550860709096,-2.02391916441928,0.919751423519641,1.06829173106714,0.36977792645636,0.371760378373695,-2.0068250212992,-1.18586953196294,0.672914429348553,0.736511884155221,-0.810056363424186,0.215033964694113,-0.435749669205805,-0.990104193249991,-0.648082260095791,-0.983545866127396,0.832484846909234,-0.154203148892997,-0.930865136381248,-0.313717326265414,0.794059491666072,0.889344990055574,-0.259875598748552,1.78191281079485,-0.157920519693354,0.849020058021282,-0.269031967752561,0.0631578326960851,0.203871663612353,1.43133223670161,0.273949239982577,0.272782021052014,-1.06794172574955,-0.171531058523692,-0.666589301125597,0.255993528037492,1.29493488644933,1.17352638588558,-0.450177309348111,0.662047520350614,-0.849495241760323,0.14456420574688,1.91265499542537,0.212703480980049,-0.149992085219944,-0.797278154890777,-1.34036968926712,0.51789331756309,1.5546113923322,0.629768823679656,-1.2270030972061,0.28615228660316,-0.629532806236782,0.230296006112064,1.21082531129446,-0.366091629544437,0.428682055941343,1.57579893126762,-0.850291813538269,1.35781799270781,-1.13734701857099,-0.80098929667084,0.939666375093949,-2.33653256813472,-0.289190265759128,-3.01516675390351,0.333917111767793,-0.895852413032382,-1.13252926328035,-0.14582794203677,-0.30332510162805
"115.063_0.79",0.266122105751671,0.330344938636644,-0.909095061419287,0.00355866078343263,0.738522338310911,-0.0415506403217641,0.874485291816634,-1.14298916060471,-0.63804872131725,1.0002032454342,2.04240499843924,0.78745953235622,1.19109756806951,1.46479057290514,0.910171398219025,-0.57815097646148,0.334948031600804,0.453054170761589,-0.190284694147951,-0.639890543187103,1.1142423688742,1.30904086158018,0.124110552281282,-3.1440972906152,0.543432205765832,1.02354217360775,0.279448881678785,-1.22557993130277,0.174781113023167,0.948180900320252,0.745064562832389,0.535257080625277,0.984014581743976,-0.0883705039907068,-0.506474243520724,-0.0976999306596371,-0.924342359897741,0.750975507722902,1.51296763897638,-0.400986706979389,-1.09767262478611,-0.731695418522146,-0.610410879745069,-1.26582776323001,1.41596553537945,-0.229312379498173,-0.0809728806966988,0.821533712283359,0.873254455528285,-1.38062540911329,0.769058190586959,0.995638616661946,-1.61141011319135,2.12507297553661,1.2962644426845,1.62050616653403,-0.873909337820041,0.90309770446976,-1.12853066318049,1.54554744202275,0.590801740525644,-0.585798778340128,-0.316573041554833,-0.679872271060136,0.368654087089055,-1.86585995985034,-0.0652426864695012,0.126980351050181,0.101175802283814,-0.80635636343207,0.255407936767191,-1.01669415686495,-0.331180602227535,-0.14682967133542,-0.559813963908066,0.184540746618795,3.36796598331153,-1.50565268181606,1.01749981765464,-1.11441160607854,0.472584198091905,0.478018003021332,-0.606771075224699,0.134827316642265,0.640214290776549,-1.32955275994579,0.157937925418626,0.0402604387078584,-0.300546756805194,-1.52942646932374,0.967968708111339,-0.520702410637423,-1.34908873070703,0.146208721495099,-0.299756812336947,-0.599009024196092,-0.671942029908114,-0.829094160130519,-0.40069957328644,0.0588354047256453,-0.464465479196462,0.587217514998495,0.19896795136182,-0.618997667815601,-1.6664347891475,-0.81220518501261,1.13636194660043,-0.964457999714265,-0.473622629967051,-1.87160183855505
"117.0788_0.79",-0.839836156320965,-0.42651123722178,2.23536072989797,0.2300085642913,0.168160071532157,0.133325369079028,1.80335880041553,0.529815562375644,-1.5786976042792,1.11829008071591,0.188747446624339,0.640429970853994,0.762953560500617,-0.0955683993154509,-0.60420949460013,-0.922298186554615,0.391718018873071,-0.126335887615223,1.36709324996596,-0.875382748762806,-0.894958270183162,-0.884934339612299,1.01918731301627,0.154867890791674,-1.76205888206788,0.144940110527669,0.430269795273129,1.15968711160749,0.446653840114337,0.533780740822378,0.787695156432813,0.227036255992421,-1.38884092243388,0.434514462797488,1.50325836598893,-0.560749090885922,0.690040274282684,-2.59459215175744,2.24205645037714,-0.280481694676098,1.00649889767601,0.060769262640137,-0.27806055536028,-1.48528402686424,-0.491654468553159,-0.381937913239861,0.478567761564802,0.632950493860955,-0.34830817922752,0.19527675028476,-0.87088233941432,-0.179812175064262,-1.82839575404874,-0.2382769908013,-0.817477697271074,0.779630815511606,-1.80021060832392,1.24992254981345,-1.65036808497027,0.41707552259431,-0.370448142142924,-0.0555188288181941,-0.413682790285809,1.35508683001234,0.673563102759608,-0.96653929599254,-0.602774007299809,0.250393036243944,0.475622451651418,-1.88815157949219,1.18533599549325,1.39663606785773,-0.855686905825444,-1.50983841052883,-2.05751540682136,1.056372294884,1.30493792565913,1.44308598170788,-0.449006578358361,0.383790305717981,-1.00389299369875,0.251395813981211,0.760781049547443,-0.0702213431924556,1.51734278831517,1.88334178191548,-0.191244891496862,0.00526170184838001,0.780630136189641,-0.149245626372936,0.250526405089346,1.14929557345802,0.711560108684096,-2.58339138347204,-0.969400703826317,-0.303661419622835,0.826207091456414,-0.351140327270129,-0.961989082834012,-0.3822031313409,-0.254170901737411,-0.514236919314705,-1.51583592098708,0.920550433328328,-0.322488174070813,-0.221360617147605,0.0898894312875506,-0.0794209416160432,0.753888999201236,-0.340246370393665
"131.07_0.75",0.369466508705385,-0.0085254280930311,-0.279674954753824,-0.835096690059564,-1.07947728078877,-0.0328230350468321,0.985401968023127,-0.0972825666670547,0.00152593809051741,-2.51671158353562,0.625936351872792,0.298328277371177,-2.73528653750099,0.596463691846399,-0.200557105798058,-0.301658458977883,0.427606039977129,2.20732985186047,1.21038466275837,1.32027556152398,0.0983227691628592,0.399760540838382,0.742860412699651,0.31578792232193,0.798544701613218,-0.342744614190643,1.11823464364269,-0.947773938726343,0.918277565600904,1.29000858328277,1.53147964667318,-1.27666769881964,0.21806612803751,1.02251809816276,-0.041501937031095,1.29495399582487,-2.64616194180621,0.789264556501983,0.65977650080126,1.25416401213838,-0.170852068855382,0.735624132447103,1.83243136895259,1.4076781844494,-0.689283365388473,0.18618524274719,0.0667212950497187,-0.116062469539401,0.189647591434438,-1.07442951783909,-0.010588259202405,0.047259107186496,1.12838340091453,-0.239195843960214,-0.20763643832249,-0.638462895651516,0.699674872209269,0.197371552645425,0.152706351418449,-2.67502168036585,-2.00093212859517,-0.0545658333089734,-1.95679235248228,0.849801891470733,-0.587229752492438,0.481204821298603,-0.135580352398116,-0.639708633441056,-1.74428468087174,-0.440363070274996,-0.82339557616778,-0.0516196591370768,0.595720491170609,0.324866814047162,-0.113686500119118,-1.58468646732534,-0.344770440979292,-1.11291355636128,-0.1761256114409,-0.230947124431024,-0.402245972811206,-0.849965585905422,0.149862369877566,0.00193787527261705,0.447289873220986,0.0134551035215346,-2.01253143221034,0.881333200898275,-0.293192103349514,-0.626236091522603,-1.62883844615569,0.369922248307983,0.701098333508408,0.115775545891173,-0.0957337202500841,1.169696616214,0.703769544933478,0.994882616907482,-0.0348567804317688,0.185217791683305,0.378548257988377,0.767962411538129,0.281643831123219,0.623285853908032,0.408610967470454,-0.112232931289373,-0.230265462472291,1.95090045377781,0.573538763444005,-2.66157112911492
"131.0936_0.81",-0.448514114846851,0.149976187014594,-0.421444527075241,-0.739909300271284,-1.13074768881841,1.13418326938549,-0.605787908799844,-0.385035662565661,0.311774729523374,-0.40444107563509,1.3359569232518,0.218974870201831,-0.767288470019105,-0.222790643330414,-0.586964981914343,0.0300325635077989,0.761183548864821,0.884835214306633,-0.334648197681244,-0.0217015608524877,0.817527344720112,1.24167488186755,1.80926046136293,-0.866866984839711,0.32117827243232,1.01146142153815,0.138930837929627,-0.808638511214394,0.972096759229157,0.128027972056225,2.1301526919502,-0.331613804349737,0.565324418910713,1.53024534773055,-0.32408421911617,0.822723428538461,-2.6133568390875,-0.154769954003093,-0.0779337234018329,1.35539944588472,-0.530461763563684,-2.60376714899696,1.96921808245071,-0.0986028885171185,0.393655931277908,-0.218934309321867,0.572382650438973,0.69828968435116,0.185736870874904,-1.11178880388772,-0.938425406242529,-0.0637928260025225,2.01024900119594,0.0847953526752466,0.000297860956751229,0.99377735456946,0.159661510039374,-0.634486441283733,-0.626728505238791,-1.85947035413822,-0.691139586693549,-0.208092427302899,-1.09536738492148,0.609100936975469,0.259957384027561,-0.706804429617479,-0.808540116688264,1.803269604015,-1.92740120685601,-0.0470433104077622,-0.971508829964036,-0.535397829183924,0.584669084406586,-0.0101839923199885,0.170050950124605,-0.0579002577863994,0.582017395118266,-1.28882526566749,1.12778823972789,-1.05385767046067,1.99001626056923,0.511117010743714,0.506525913347511,-0.351480132295163,0.0203710131977695,-1.00252381897691,0.763086203095224,0.781791035538438,0.0436097094220166,-1.72562411948474,-0.535419299079951,0.465135432112237,0.782112832377562,0.0770387089979157,-0.929125175670542,1.02577693711319,0.69098897521059,-0.0901892857668461,0.24350519371219,0.431091595563115,0.874309971268323,1.13691438372148,0.596591477180164,-0.143777209189489,-1.22734638725348,-0.434494152117707,-0.198253673502744,-4.04997522430084,0.103419436472583,-0.895973172551966
"139.0611_0.79",-0.873015019527894,-1.38656147931705,1.71255045339624,0.670760881852189,-0.454099065936081,0.0556086636083361,1.05222068100843,-0.436659398246555,-1.53774590140795,1.40419511967117,0.821974318583735,0.41678972398994,-0.0160763843419825,-0.203262315454673,-1.51875358752677,-0.892082006809538,0.470723262628525,0.191304679082606,1.83324286538916,-0.700385506930952,-0.683060047836199,-0.141703222482586,1.26924476255693,-1.88753572261933,-1.2703437016631,0.332672675629387,0.255481493970723,-0.213687986365427,1.49701916389309,0.17995582026506,0.855404754571293,0.222457098028792,-1.16822419803521,1.00245403581522,1.6428862825153,-0.269477801332706,-0.573273200300254,-1.71314358547966,1.21386648900122,-0.12274944208138,1.00848926969888,-0.22989965659336,0.63149257666066,-1.34500881410173,0.113376000654604,-0.31039267702984,1.01639206846364,0.750110634628814,0.0537263210777493,0.187169276447563,-1.80181620405616,-0.06135858631768,-0.758672443528252,-0.892082115836874,-0.750772832835435,1.55488467024385,-1.85720224539199,1.37609182969774,-0.586957748912304,0.351554282572824,-0.824262795972273,-0.704413844351037,-0.188620552966196,1.48102087139455,0.613185328646347,-0.800744204759609,-0.468064175421337,1.08461712529081,0.319294514209016,-2.20365276515605,0.66140832406504,1.84221610743398,-0.3264862150327,-1.55024164183516,-1.51125124901355,0.522900620094554,2.28023376219414,0.44373423939527,0.524510393711646,0.517203703382499,-0.735700429929613,0.569322945342498,0.386343647104449,0.396160807467763,1.57581577101165,0.763005901813651,0.31911646432397,0.66644488114923,1.65007730726912,-0.344820475615218,0.1788779970875,0.712178508187376,0.854194341617335,-2.01747711866599,-1.62424768851488,-0.804344142327096,0.433097106828068,-1.33092264297286,-0.976026292560612,-0.160389846600671,-0.00473778004562299,0.913360613126275,-1.14785816311794,1.00560699541553,-0.790135207440381,-0.532273190593205,-0.844883666811654,-0.251086953231737,0.449710292419954,-0.509094784351319
"143.0954_0.79",-1.27081261185718,0.340347820502354,0.596896606254655,1.25916851099681,1.54859843488968,-0.527685469991099,-0.976310748844006,-1.26586363538682,1.28695823517872,-1.3776272364988,-0.726507472885016,-1.05562762821798,-0.469383016078227,1.36854289472113,-0.905865887886892,-0.343462380557765,0.163744928600252,-0.781368437515972,0.47907747487244,-0.869504433680268,-0.603781909565869,-0.804138483253506,-1.18210901324939,0.210063520346282,1.38519761863102,-0.367008785225479,-0.252915722008887,0.0790941875580158,-0.435017870873087,0.988504733027991,0.990912376518233,-1.23980270500168,-0.515877704843315,-0.28373612016786,0.825102203241945,-1.23844121421938,1.14295058033578,-0.703702945845822,-0.118180387901949,0.527332485198691,0.480592166885689,-1.43627867372323,0.460764438132297,0.30768831583098,0.175415003587166,-1.08682431802751,0.569167407053515,1.3808184026404,0.478700625428056,-0.30607673301005,-0.0531548928088563,0.739867541195801,-1.2789663178885,-1.29498370333113,1.04544570842284,-1.25008764863986,1.01687880807303,2.46681391205038,-1.26420154618882,1.97259633798153,0.884081135357905,-0.852893298439813,-1.15152259107106,-1.33900942092133,-1.10659468087418,1.35950068654313,-1.12559829175673,1.49107370426493,1.07734771007616,-1.53236921692675,1.76438725040002,0.744242215360364,1.31851086466078,-0.796020617714054,0.657838803168624,-1.04498379201481,1.54341810408534,-1.23384023034232,-0.921739164270037,0.0766475645250157,0.720623017836865,0.299681415813573,-0.8125228291212,0.49490707320153,0.381347433998672,0.850795017969682,0.625973493883154,-1.1079272996636,0.724395893171507,0.167201151591545,-1.43248989730417,-0.928676787418052,-0.679759706819915,-1.21290619583436,2.23016460311693,-0.604738255176244,-0.495980642605516,1.07368766035583,0.293498989823976,-0.339335121044841,-0.939099170807042,0.576468942490384,1.05582142876825,0.363151212912445,1.62920139633865,-0.92299114867994,0.929480055672069,0.10420531488888,-1.22221439005381,0.363624985602162
"155.0693_1.16",0.484125666267217,-0.134362564616341,1.00986070591108,0.012493585168542,1.49864407410531,-0.821407290471413,-0.0432353759850873,1.3263022009311,0.121266179654073,0.892526106384014,-0.0387638612097852,-0.123160114158254,0.54609900569414,-0.557848894213103,-0.201635656866729,-0.0522738561080009,1.20180137450809,-0.228751020083477,-0.974569100502568,-1.49713792992706,1.02021425578894,-0.80057119199045,-0.059318425674842,-2.99657385116327,-1.02656788209758,0.161604109537801,1.01098322852131,-0.779240475582648,0.788403244154733,1.15293392632212,1.47231112914003,-0.186830984772976,0.933516686329086,0.060824619618097,0.877463317564417,0.212711232979893,-1.52362889939197,0.749265823706083,-0.259517611253367,-0.103604981628474,-1.03097006444885,-1.95205041301077,0.46616267431219,-0.347208233833674,0.26276873689761,0.583671376508466,1.22014954200833,0.643763951358736,-0.232744044446539,0.445191855153859,-0.338816389453862,-1.11765044510909,0.77286032667115,-1.3853923962325,0.317711719156293,0.207404569160403,0.400503929070016,-0.434030801172832,1.13665658044936,-0.63711977988179,-0.70092899386208,-1.0674288720123,-0.377077719693091,-1.20492624433361,0.500503508124707,0.828722410291774,0.0184474240515837,1.84349585578502,0.710667887717326,0.106335636661436,-0.333903750581954,0.703231394444187,0.00238221544330284,-0.923037015015701,2.2754953714521,-1.07192578766353,2.34072658502575,-0.0292579873910298,0.119245972729599,-0.133902566398221,-0.752111604130833,-0.811290224102792,-0.0142037372755271,0.575113939802702,0.439581142641525,-0.686417384638773,0.478895507010091,0.0293924525919409,0.772496568283172,-1.87086042129403,0.709570657673505,1.60321221880642,0.16916582090106,-0.50911039203066,-1.84958180361356,-1.84182645692136,-0.628740538838338,0.432335649782656,1.19623202378022,0.795690434453472,1.46939073579966,1.52094097590618,-1.4993742646195,-0.128200761280943,-1.08486333559973,-0.162572929024554,-0.0865471714587135,-3.41493022904372,-0.694648301450174,0.131182905370267
